schemaname,tablename,policyname,permissive,roles,operation,using_expression,check_expression
public,attendance,admins_delete_attendance,PERMISSIVE,{public},DELETE,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),null
public,attendance,users_insert_attendance,PERMISSIVE,{public},INSERT,null,(organisation_id = get_my_org())
public,attendance,users_update_attendance,PERMISSIVE,{public},UPDATE,(organisation_id = get_my_org()),(organisation_id = get_my_org())
public,attendance,users_view_attendance,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,calendar_events,users_delete_calendar_events,PERMISSIVE,{public},DELETE,(organisation_id = get_my_org()),null
public,calendar_events,users_insert_calendar_events,PERMISSIVE,{public},INSERT,null,(organisation_id = get_my_org())
public,calendar_events,users_update_calendar_events,PERMISSIVE,{public},UPDATE,(organisation_id = get_my_org()),(organisation_id = get_my_org())
public,calendar_events,users_view_calendar_events,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,communications,users_delete_own_communications,PERMISSIVE,{public},DELETE,(created_by_user_id = auth.uid()),null
public,communications,users_insert_communications,PERMISSIVE,{public},INSERT,null,((organisation_id = get_my_org()) AND (created_by_user_id = auth.uid()))
public,communications,users_update_own_communications,PERMISSIVE,{public},UPDATE,(created_by_user_id = auth.uid()),(created_by_user_id = auth.uid())
public,communications,users_view_communications,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,customers,admins_delete_customers,PERMISSIVE,{public},DELETE,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),null
public,customers,users_insert_customers,PERMISSIVE,{public},INSERT,null,(organisation_id = get_my_org())
public,customers,users_update_customers,PERMISSIVE,{public},UPDATE,(organisation_id = get_my_org()),(organisation_id = get_my_org())
public,customers,users_view_customers,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,document_downloads,system_insert_downloads,PERMISSIVE,{public},INSERT,null,(user_id = auth.uid())
public,document_downloads,users_view_own_downloads,PERMISSIVE,{public},SELECT,(user_id = auth.uid()),null
public,documents,admins_delete_documents,PERMISSIVE,{public},DELETE,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),null
public,documents,users_insert_documents,PERMISSIVE,{public},INSERT,null,((organisation_id = get_my_org()) AND (uploaded_by_user_id = auth.uid()))
public,documents,users_update_own_documents,PERMISSIVE,{public},UPDATE,((organisation_id = get_my_org()) AND ((uploaded_by_user_id = auth.uid()) OR (get_my_role() = 'admin'::user_role))),(organisation_id = get_my_org())
public,documents,users_view_documents,PERMISSIVE,{public},SELECT,((organisation_id = get_my_org()) AND ((get_my_role())::text IN ( SELECT jsonb_array_elements_text(documents.view_permissions) AS jsonb_array_elements_text))),null
public,intranet_comments,admins_moderate_comments,PERMISSIVE,{public},ALL,"((post_id IN ( SELECT intranet_posts.id
   FROM intranet_posts
  WHERE (intranet_posts.organisation_id = get_my_org()))) AND (get_my_role() = 'admin'::user_role))","(post_id IN ( SELECT intranet_posts.id
   FROM intranet_posts
  WHERE (intranet_posts.organisation_id = get_my_org())))"
public,intranet_comments,users_insert_comments,PERMISSIVE,{public},INSERT,null,"((author_user_id = auth.uid()) AND (post_id IN ( SELECT intranet_posts.id
   FROM intranet_posts
  WHERE ((intranet_posts.organisation_id = get_my_org()) AND (intranet_posts.is_published = true)))))"
